Strategy,Expected Return,Expected Volatility,Expected Sharpe,Maximum Weight,Number of Holdings
Equal Weight,-0.04187743797366226,0.10562485536118627,-0.6804973860354737,0.1,10
Minimum Volatility,0.04087546753336236,0.04485850474635527,0.24243936784910305,0.35,7
Maximum Sharpe,0.0886085927810956,0.05862410136885569,0.999735457134558,0.34999999999994147,4
Risk Parity,-0.05456590756224031,0.1093137442359741,-0.77360727283926,0.30717904075858804,8
Maximum Diversification,0.03752940891750553,0.04648738457542944,0.16196671390038028,0.35,10
