,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,GLD,VNQ,DBC
Equal Weight,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Minimum Volatility,0.052268280607359704,0.0,0.0,0.032226810378513555,0.0,0.22869975499230938,0.35,0.1743189920655852,0.09572068300954388,0.06676547894668838
Maximum Sharpe,0.0,0.0,0.0,0.0,0.01325002923946296,0.34999999999994147,0.3499999999999286,0.286749970760667,0.0,0.0
Risk Parity,0.09018249600927832,0.07164510593447895,0.07603264067488541,0.09979153667987148,0.08680978215891669,0.0,0.0,0.30717904075858804,0.10124357928288572,0.16711581850109553
Maximum Diversification,0.03432040958877997,0.040403106231681626,0.02867398310558873,0.0006836558746934153,0.01598482878599503,0.23900563107682285,0.35,0.12049845672441525,0.09002344970246123,0.08040647890956197
